brand,prot,fat,ash,sodium,carb,cal
A,21.43,44.87,5.11,1.77,0.77,4.93
A,21.26,43.89,5.34,1.79,1.02,4.84
A,19.99,45.78,5.08,1.63,0.8,4.95
A,20.15,43.13,4.79,1.61,1.38,4.74
A,21.28,41.65,4.82,1.64,1.76,4.67
A,20.23,42.31,4.92,1.65,1.4,4.67
A,20.97,41.34,4.71,1.58,1.77,4.63
A,21.41,41.6,5.28,1.75,2.95,4.72
A,20.48,45.1,5.02,1.71,1.18,4.93
A,21.19,45.29,5.16,1.66,0.64,4.95
A,21.2,45.59,4.94,1.65,0.92,4.98
A,21.2,45.03,5.15,1.67,1.64,4.97
A,20,45.12,4.93,1.56,1.25,4.91
A,19.65,42.45,4.81,1.65,2.81,4.72
A,20.77,42.03,4.9,1.61,1.39,4.67
A,17.88,44.33,5.26,1.76,1.7,4.77
A,20.06,39.74,5.24,1.69,2.23,4.47
A,17.53,40.87,5.05,1.61,1.97,4.46
A,20.35,40.44,5.43,1.61,1.98,4.53
A,19.05,42.29,5.27,1.71,2.37,4.66
A,19.56,47.2,4.95,1.65,1.27,5.08
A,20.01,45.59,4.97,1.7,1.65,4.97
A,20.58,42.26,4.96,1.63,1.32,4.68
A,19.25,43.42,4.62,1.5,0.51,4.7
A,18.05,41.88,5.22,1.7,1.66,4.56
A,19.78,44.2,4.8,1.61,0.79,4.8
A,19.99,45.2,4.78,1.62,1.1,4.91
A,18.71,43.99,4.86,1.62,2.03,4.79
A,21.1,43.37,5.05,1.69,0.86,4.78
B,13.7,29.07,3.62,1.1,4.04,3.33
B,14.38,25.72,3.26,0.93,3.96,3.05
B,13.14,30.38,3.55,0.99,4.4,3.44
B,13.78,28.39,3.56,1,4.08,3.27
B,13.21,27.66,3.64,1,4.82,3.21
B,13.35,29.2,3.52,1.05,3.94,3.32
B,12.93,29.88,3.6,1.03,2.87,3.32
B,12.56,29.95,2.99,0.81,3.69,3.35
B,13.28,25.25,3.1,0.8,4.29,2.98
B,14.27,24.92,3.85,1.06,5.06,3.02
B,13.96,29.25,3.42,0.96,3.04,3.31
B,13.63,29.59,3.41,0.98,3.68,3.36
B,14.02,27.37,3.71,1.11,3.78,3.18
B,13.24,28.91,3.59,1.06,4.49,3.31
B,14.26,22.99,3.19,0.9,4.6,2.82
B,14.87,21.9,3.29,0.86,4.83,2.76
B,14.06,24.95,3.14,0.82,3.73,2.96
B,13.79,29.57,3.52,0.95,3.78,3.36
B,13.14,28.79,3.73,1.09,3.69,3.26
B,14.18,24.6,3.57,1.12,5.19,2.99
B,13.4,28.84,3.48,0.98,4.32,3.3
B,13.17,29.39,3.59,1.06,4.28,3.35
B,13.06,29.46,3.51,1.04,4.63,3.36
B,13.85,27.64,3.71,1.1,3.93,3.2
B,13.9,27.56,3.73,1.08,3.78,3.19
B,14.05,24.73,3.32,0.92,3.92,2.94
B,13.64,27.04,3.57,0.98,3.52,3.12
B,13.95,27.75,3.6,1.04,2.96,3.17
B,13.72,28.28,3.62,1.05,2.86,3.21
B,13.13,28.82,2.94,0.8,3.25,3.25
B,13.18,28.38,3.04,0.86,3.65,3.23
C,26.05,21.4,3.44,0.5,0.71,3
C,28.48,17.37,3.53,0.43,1.93,2.78
C,25.23,20.89,3.22,0.47,1.78,2.96
C,25.63,19.28,3.48,0.55,2.64,2.87
C,23.98,23.37,3,0.52,0.81,3.09
C,25.65,19.98,2.51,0.52,2.13,2.91
C,28.3,15.79,3.47,0.45,2.26,2.64
C,27.98,18.69,3.58,0.48,1.7,2.87
C,27.31,16.89,3.08,0.25,3,2.73
C,26.24,16.41,3.61,0.6,2.15,2.61
C,26.31,14.77,3.51,0.53,3.15,2.51
C,25.23,20.03,3.02,0.44,2.37,2.91
C,26.03,21.54,3.71,0.6,0.81,3.01
C,25.82,20.79,3.33,0.54,2.23,2.99
C,25.55,21.1,3.04,0.43,2.41,3.02
C,24.53,21.08,2.84,0.34,2.45,2.98
C,24.13,19.75,3.21,0.52,2.87,2.86
C,26,16.64,4.17,0.61,1,2.58
C,26.17,21.29,3.36,0.48,2.07,3.05
C,26.76,19.99,3.64,0.46,1.13,2.91
C,26.25,16.45,3.92,0.38,1.16,2.58
C,26.91,18,2.21,0.41,3.31,2.83
C,24.98,17.2,3.01,0.34,3.1,2.67
C,27.42,17.42,3.05,0.33,2.84,2.78
C,23.95,24.24,3.47,0.57,1.09,3.18
C,26.34,16.47,3.2,0.43,3.01,2.66
C,25.46,20.79,3.04,0.37,1.14,2.94
D,21.38,24.96,4.6,0.77,2.42,3.2
D,21.6,25.87,4.51,0.73,2.09,3.28
D,22.07,21.13,4.07,0.72,5.13,2.99
D,22.44,19.61,4.06,0.6,6.28,2.91
D,21.79,21.17,4.06,0.76,6.07,3.02
D,21.71,23.6,4.59,0.75,3.22,3.12
D,21.75,20.83,4.01,0.67,5.92,2.98
D,21.96,20.88,4.02,0.7,5.11,2.96
D,27.99,17.49,3.29,0.39,2.07,2.78
D,22.29,21.3,4.08,0.74,5.16,3.02
D,21.48,21.69,4.03,0.67,5.51,3.03
D,21.11,21.54,4.02,0.7,5.8,3.02
D,22.25,19.53,4.04,0.68,6.32,2.9
D,22.65,21.59,5.22,0.93,2.45,2.95
D,22.38,21.39,5.21,0.99,3.29,2.95
D,22.73,21.05,5.22,0.98,2.56,2.91
D,22.13,21.01,4.09,0.72,5.34,2.99
D,21.84,20.45,4.06,0.71,5.97,2.95
D,22.05,20.57,4.04,0.7,5.29,2.94
D,21.31,21.05,4.01,0.73,5.62,2.97
D,22.37,20.97,4.06,0.7,5.15,2.99
D,22.36,20.39,4.02,0.7,5.43,2.95
D,22.49,19.53,4.18,0.62,5.49,2.88
D,21.19,25.18,4.66,0.8,2.78,3.23
D,22.43,18.68,4.1,0.72,5.98,2.82
D,22.95,21.93,5.26,0.85,0.97,2.93
D,22.22,20.4,4.07,0.56,5.4,2.94
D,21.51,25.44,4.58,0.6,2.19,3.24
D,21.43,26,4.71,0.69,1.57,3.26
D,20.84,25.68,4.52,0.69,1.93,3.22
D,20.7,25.1,4.55,0.7,2.85,3.2
D,26,16.64,4.17,0.61,1,2.58
E,7.44,16.24,1.31,0.39,40.43,3.38
E,7.77,17.07,1.37,0.4,36.95,3.33
E,8.05,15.77,1.38,0.41,39.66,3.33
E,8.67,4.44,1.54,0.51,46.1,2.59
E,7.75,14.87,1.42,0.42,41.45,3.31
E,8.36,4.39,1.52,0.48,46.14,2.58
E,7.81,13.67,1.36,0.4,42.22,3.23
E,8.1,16.44,1.45,0.44,34.65,3.19
E,7.74,15.49,1.45,0.45,39.28,3.27
E,7.75,15.67,1.43,0.44,38.61,3.26
E,8.3,13.05,1.64,0.49,39.23,3.08
E,7.92,13.85,1.46,0.4,41.47,3.22
E,7.62,19.07,1.44,0.44,37.4,3.52
E,7.54,19.56,1.32,0.43,38.34,3.6
E,7.33,19.61,1.6,0.45,34.12,3.42
E,7.93,13.58,1.43,0.45,39.47,3.12
E,7.52,12.46,1.51,0.47,42.01,3.1
E,7.33,19.61,1.6,0.45,34.12,3.42
E,7.98,14.54,1.46,0.49,41.71,3.3
E,7.8,14.77,1.46,0.46,39.28,3.21
E,7.75,17.94,1.61,0.44,38.47,3.46
E,7.47,17.67,1.44,0.47,37.88,3.4
E,6.98,20.02,1.35,0.46,36.44,3.54
E,7.11,19.5,1.48,0.45,38.26,3.57
E,7.26,18.8,1.58,0.43,37.59,3.49
E,7.4,8.18,1.63,0.53,45.47,2.85
E,8.3,13.05,1.64,0.49,39.23,3.08
E,7.54,13.93,1.45,0.44,42.6,3.26
F,7.65,18.39,1.53,0.49,44.4,3.74
F,7.99,15.16,1.46,0.48,45.3,3.5
F,8.17,14.35,1.49,0.46,46.2,3.46
F,8.02,20.39,1.45,0.45,40.07,3.76
F,7.7,18.88,1.4,0.43,43.56,3.75
F,8.09,14.82,1.52,0.51,45.28,3.47
F,7.67,16.12,1.41,0.43,46.14,3.6
F,8.31,13.42,1.49,0.43,45.82,3.37
F,8.2,14.51,1.5,0.5,46.01,3.47
F,7.76,16.04,1.4,0.42,44.52,3.53
F,8.11,19.23,1.51,0.48,41.23,3.7
F,7.79,15.08,1.41,0.45,46.18,3.52
F,8.18,19.35,1.39,0.58,42.15,3.75
F,7.95,15.08,1.45,0.47,45.63,3.5
F,7.78,17.3,1.29,0.4,46.25,3.72
F,7.82,17.96,1.41,0.45,44.48,3.71
F,8.07,20.05,1.45,0.45,41.33,3.78
F,8.05,14.07,1.44,0.45,46.22,3.49
F,7.88,17.49,1.44,0.47,45.26,3.96
F,8.02,14.17,1.49,0.47,45.79,3.43
F,8.11,12.92,1.56,0.47,46.73,3.36
F,8.06,12.23,1.5,0.47,48.06,3.35
F,8.02,16.34,1.43,0.45,44.91,3.59
F,7.63,15.71,1.63,0.46,45.34,3.53
F,7.51,17.78,1.58,0.43,44.13,3.67
F,7.7,16.67,1.48,0.47,45.17,3.62
F,7.88,17.21,1.42,0.46,44.65,3.65
F,7.6,18.51,1.45,0.46,44.1,3.73
F,7.62,19.29,1.45,0.47,43.28,3.77
F,7.6,14.22,1.78,0.45,45.43,3.4
G,8.23,15.45,1.41,0.45,46.76,3.59
G,8.19,14.9,1.4,0.43,47.16,3.56
G,8.03,13.67,1.41,0.42,46.04,3.39
G,8.3,15,1.41,0.43,47.08,3.57
G,8.26,20.1,1.37,0.42,41.44,3.8
G,8.05,16.72,1.31,0.43,45.63,3.65
G,8.3,16.07,1.41,0.45,45.54,3.6
G,8.28,15.62,1.53,0.5,46.86,3.61
G,8.27,16.4,1.37,0.41,45.93,3.64
G,8.34,16.19,1.42,0.45,45.92,3.63
G,8.42,14.06,1.47,0.45,47.96,3.52
G,8.57,14.16,1.76,0.42,47.32,3.51
G,8.42,15.24,1.43,0.43,46.28,3.56
G,7.87,12.07,1.37,0.44,45.6,3.23
G,8.03,19.98,1.43,0.45,44.23,3.89
G,8.55,15.18,1.51,0.46,47.48,3.61
G,8.25,14.65,1.45,0.46,48.09,3.57
G,8.06,15.34,1.35,0.42,47.53,3.6
G,8.21,17.33,1.39,0.42,42.44,3.59
G,8.46,14.12,1.47,0.47,46.89,3.48
G,8.25,17.3,1.48,0.47,44.42,3.66
G,8.27,14.68,1.79,0.46,48.1,3.58
G,8.17,13.64,1.45,0.47,48.41,3.49
G,7.99,17.53,1.42,0.44,46.87,3.77
G,7.89,17.97,1.3,0.39,46.39,3.79
G,8.24,15.16,1.46,0.45,47.42,3.59
G,8.49,16.87,1.45,0.47,48.19,3.79
G,8.46,12.25,1.51,0.46,48.64,3.39
G,8.01,16.02,1.43,0.45,45.9,3.6
H,8.33,11.9,1.42,0.39,42.23,3.09
H,8.04,19.07,1.36,0.41,36.43,3.5
H,7.66,15.39,1.37,0.46,40.1,3.3
H,9.04,6.24,1.5,0.42,47.56,2.83
H,8.07,16.15,1.41,0.4,38.81,3.33
H,8.01,16.36,1.3,0.39,38.65,3.34
H,8.34,4.96,1.42,0.43,44.56,2.56
H,7.32,16.4,1.76,0.36,38.97,3.33
H,7.34,15.78,1.34,0.42,42.49,3.41
H,8.07,14.93,1.31,0.4,41.94,3.34
H,8.55,4.38,1.41,0.43,46.82,2.61
H,7.45,18.49,1.39,0.4,39.23,3.53
H,8.67,15.05,1.35,0.38,38.5,3.24
H,7.9,14.09,1.25,0.42,40.92,3.22
H,8.38,12.59,1.36,0.41,41.04,3.11
H,8.11,13.45,1.34,0.42,41.59,3.2
H,7.82,14.58,1.32,0.4,39.41,3.2
H,7.51,15.63,1.42,0.42,39.94,3.3
H,7.76,15.84,1.3,0.42,41.2,3.38
H,7.82,14.08,1.43,0.42,40.87,3.21
H,7.86,14.27,1.4,0.44,40.73,3.23
H,7.47,19.14,1.34,0.4,36.31,3.47
H,8.23,16.6,1.4,0.45,37.78,3.33
H,7.9,13.83,1.41,0.46,41.36,3.22
H,7.41,16.41,1.75,0.43,38.52,3.31
H,7.7,15.6,1.37,0.43,39.32,3.28
H,7.42,18.16,1.17,0.39,36.52,3.39
H,7.47,14.72,1.67,0.4,40.28,3.23
H,8.06,12.54,1.35,0.43,41.73,3.12
H,7.17,17.88,1.29,0.4,39.05,3.46
H,7.81,9.34,1.64,0.44,44.54,2.93
H,7.97,13.5,1.45,0.42,41.14,3.18
H,7.86,14.27,1.4,0.44,40.73,3.23
I,10.36,12.89,2.21,0.53,19.9,2.37
I,9.85,13.55,2.04,0.47,20.05,2.42
I,10.22,13.05,2.07,0.48,20.82,2.42
I,10.66,14.04,2.03,0.46,18.95,2.45
I,10.19,14.35,2.02,0.49,20.54,2.52
I,11.11,11.3,2.05,0.47,20.54,2.28
I,9.06,11.49,1.93,0.48,21.28,2.25
I,9.96,13.22,2.05,0.46,18.52,2.33
I,9.61,12.18,2.16,0.51,21.62,2.35
I,11,15.23,2.25,0.55,17.83,2.52
I,10.32,13.77,2.15,0.48,19.07,2.41
I,11.17,13.83,2.18,0.47,19.66,2.48
I,10.92,12.51,2.2,0.51,19.22,2.33
I,10.78,13.65,2.08,0.5,18.62,2.4
I,10.46,12.37,2.17,0.51,19.57,2.31
I,9.69,13.89,1.99,0.48,18.83,2.39
I,9.93,12.66,2.07,0.53,20.83,2.37
I,10.18,12.6,2.06,0.48,20.42,2.36
I,10.67,12.18,2.08,0.49,20.9,2.36
I,10.78,12.98,2.12,0.49,21.37,2.45
I,11.43,13.09,2.24,0.48,18.88,2.39
I,10.75,13.87,2.13,0.46,18.97,2.4
I,10.4,13.22,2.1,0.47,19.74,2.4
I,10.68,13.53,2.04,0.46,19.69,2.43
I,9.66,10.95,2.04,0.47,20.13,2.18
I,10.57,13.42,2.08,0.5,19.13,2.4
I,10.13,13.25,2.07,0.46,20.38,2.41
I,10.73,12.78,2.16,0.48,20.76,2.41
I,9.84,12.91,2.08,0.51,19.88,2.35
J,10.34,16.14,2.47,0.67,24.89,2.86
J,10.97,16.49,2.46,0.65,26.28,2.97
J,10.43,15.18,2.32,0.56,24.47,2.76
J,9.91,15.5,2.27,0.57,25.48,2.81
J,9.87,15.97,2.19,0.53,25.87,2.87
J,10.16,14.56,2.27,0.54,25.17,2.72
J,10.5,17.07,2.33,0.61,24.24,2.93
J,10.75,16.72,2.24,0.61,23.74,2.88
J,10.71,17.24,2.36,0.61,23.56,2.92
J,9.76,16.01,2.3,0.6,23.35,2.77
J,12.91,15.56,2.34,0.61,24.43,2.89
J,10.84,13.99,2.38,0.64,26.66,2.76
J,10.45,16.5,2.35,0.61,23.27,2.83
J,11.26,15.93,2.47,0.63,24.12,2.85
J,10.67,16.38,2.44,0.6,25.31,2.91
J,10.46,15.16,2.34,0.64,24.99,2.78
J,10.81,19.49,2.51,0.68,23.74,3.14
J,10.23,16.31,2.5,0.67,23.22,2.81
J,10.42,17.2,2.34,0.61,24.87,2.96
J,10.52,16.12,2.44,0.66,26.15,2.92
J,10.75,16,2.4,0.64,22.94,2.79
J,10.23,16.5,2.3,0.59,25.28,2.91
J,10.3,16.38,2.35,0.61,24.85,2.88
J,10.31,15.45,2.34,0.62,24.55,2.78
J,9.39,16.23,2.14,0.55,27.03,2.92
J,10,17.73,2.32,0.59,23.61,2.94
J,10.96,18.39,2.56,0.66,24.02,3.05
J,11.07,17,2.49,0.66,25.36,2.91
J,11.79,18.46,2.43,0.67,24.17,3.1
J,11.01,16.03,2.43,0.64,25.98,2.92
J,10.43,15.18,2.32,0.56,24.47,2.76
J,9.91,15.5,2.27,0.57,25.48,2.81
