fixed acidity,volatile acidity,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
7.4,0.7,11,34,0.9978,3.51,0.56
7.8,0.88,25,67,0.9968,3.2,0.6799999999999999
7.8,0.76,15,54,0.997,3.2600000000000002,0.65
11.2,0.28,17,60,0.998,3.16,0.58
7.4,0.7,11,34,0.9978,3.51,0.56
7.4,0.6599999999999999,13,40,0.9978,3.51,0.56
7.9,0.6,15,59,0.9964,3.3,0.46
7.3,0.65,15,21,0.9946,3.3899999999999997,0.47000000000000003
7.8,0.58,9,18,0.9968,3.36,0.5700000000000001
7.5,0.5,17,102,0.9978,3.3499999999999996,0.8
6.7,0.58,15,65,0.9959,3.2800000000000002,0.54
7.5,0.5,17,102,0.9978,3.3499999999999996,0.8
5.6,0.615,16,59,0.9943,3.58,0.52
8.9,0.62,52,145,0.9986,3.16,0.88
8.9,0.62,51,148,0.9986,3.17,0.93
8.5,0.28,35,103,0.9969,3.3,0.75
8.1,0.56,16,56,0.9968,3.11,1.28
7.4,0.59,6,29,0.9974,3.38,0.5
7.9,0.32,17,56,0.9969,3.04,1.08
8.9,0.22,29,60,0.9968,3.3899999999999997,0.53
7.6,0.39,23,71,0.9982,3.52,0.65
7.9,0.43000000000000005,10,37,0.9966,3.17,0.91
8.5,0.49,9,67,0.9968,3.17,0.53
6.9,0.4,21,40,0.9968,3.4299999999999997,0.63
6.3,0.39,11,23,0.9954999999999999,3.34,0.56
7.6,0.41000000000000003,4,11,0.9962,3.2800000000000002,0.59
7.9,0.43000000000000005,10,37,0.9966,3.17,0.91
7.1,0.71,14,35,0.9972,3.4699999999999998,0.55
7.8,0.645,8,16,0.9964,3.38,0.59
6.7,0.6749999999999999,17,82,0.9958,3.3499999999999996,0.54
6.9,0.6849999999999999,22,37,0.9966,3.46,0.5700000000000001
8.3,0.655,15,113,0.9966,3.17,0.6599999999999999
6.9,0.605,40,83,0.9993,3.4499999999999997,0.52
5.2,0.32,13,50,0.9957,3.38,0.55
7.8,0.645,5,18,0.9986,3.4,0.55
7.8,0.6,3,15,0.9974999999999999,3.42,0.6
8.1,0.38,13,30,0.9968,3.23,0.73
5.7,1.1300000000000001,7,19,0.994,3.5,0.48000000000000004
7.3,0.45,12,87,0.9978,3.3299999999999996,0.8300000000000001
7.3,0.45,12,87,0.9978,3.3299999999999996,0.8300000000000001
8.8,0.61,17,46,0.9976,3.2600000000000002,0.51
7.5,0.49,8,14,0.9968,3.21,0.9
8.1,0.6599999999999999,9,23,0.9968,3.3,1.2
6.8,0.6699999999999999,5,11,0.9962,3.48,0.52
7.7,0.935,22,114,0.997,3.25,0.73
8.7,0.29000000000000004,12,37,0.9969,3.25,0.58
6.4,0.4,5,12,0.9958,3.34,0.56
5.6,0.31,12,96,0.9954,3.32,0.58
8.8,0.6599999999999999,4,23,0.9971,3.15,0.74
6.6,0.52,8,15,0.9956,3.4,0.63
6.6,0.5,6,14,0.9954999999999999,3.3899999999999997,0.64
8.6,0.38,30,119,0.997,3.2,0.56
7.6,0.51,33,73,0.9954999999999999,3.17,0.63
7.7,0.62,25,45,0.9978,3.34,0.53
10.2,0.42000000000000004,4,10,0.9971,3.04,0.63
7.5,0.63,50,110,0.9983,3.2600000000000002,0.77
7.8,0.59,17,54,0.9974999999999999,3.4299999999999997,0.59
7.3,0.39,9,46,0.9962,3.4099999999999997,0.54
8.8,0.4,19,52,0.998,3.44,0.64
7.7,0.69,20,112,0.9968,3.21,0.71
7.5,0.52,12,35,0.9968,3.38,0.62
7,0.735,13,54,0.9966,3.3899999999999997,0.5700000000000001
7.2,0.725,4,11,0.9962,3.4099999999999997,0.39
7.2,0.725,4,11,0.9962,3.4099999999999997,0.39
7.5,0.52,11,39,0.9968,3.42,0.58
6.6,0.705,6,15,0.9962,3.44,0.58
9.3,0.32,27,65,0.9969,3.2800000000000002,0.7899999999999999
8,0.705,8,19,0.9962,3.34,0.9500000000000001
7.7,0.63,15,27,0.9967,3.32,0.54
7.7,0.6699999999999999,17,96,0.9962,3.32,0.48000000000000004
7.7,0.69,18,94,0.9961,3.3099999999999996,0.48000000000000004
8.3,0.6749999999999999,11,43,0.9976,3.3099999999999996,0.53
9.7,0.32,28,83,0.9984,3.2800000000000002,0.8200000000000001
8.8,0.41000000000000003,9,42,0.9986,3.54,0.6599999999999999
8.8,0.41000000000000003,9,42,0.9986,3.54,0.6599999999999999
6.8,0.7849999999999999,14,30,0.9966,3.52,0.55
6.7,0.75,12,80,0.9958,3.38,0.52
8.3,0.625,27,119,0.9972,3.16,1.12
6.2,0.45,3,15,0.9958,3.4099999999999997,0.56
7.8,0.43000000000000005,22,67,0.9974,3.13,1.28
7.4,0.5,21,73,0.997,3.36,0.5700000000000001
7.3,0.6699999999999999,16,51,0.9969,3.16,1.1400000000000001
6.3,0.3,18,61,0.9959,3.44,0.7799999999999999
6.9,0.55,19,40,0.9961,3.4099999999999997,0.59
7.7,0.49,9,31,0.9966,3.3899999999999997,0.64
9.3,0.39,34,125,0.9978,3.14,1.22
7,0.62,8,24,0.9978,3.48,0.53
7.9,0.52,42,140,0.9964,3.23,0.54
7.7,0.49,9,31,0.9966,3.3899999999999997,0.64
6.8,0.775,8,23,0.9964999999999999,3.4499999999999997,0.56
7,0.5,3,22,0.9963,3.25,0.63
7.6,0.9,5,10,0.9967,3.3899999999999997,0.56
8.1,0.545,13,35,0.9972,3.3,0.59
8.3,0.61,11,50,0.9972,3.4,0.61
7.8,0.5,8,22,0.9959,3.3099999999999996,0.56
8.1,0.545,13,35,0.9972,3.3,0.59
8.1,0.5750000000000001,12,65,0.9967,3.29,0.51
7.2,0.49,5,36,0.996,3.3299999999999996,0.48000000000000004
8.1,0.5750000000000001,12,65,0.9967,3.29,0.51
7.8,0.41000000000000003,18,69,0.9973,3.08,1.31
6.2,0.63,15,64,0.9969,3.46,0.7899999999999999
8,0.32999999999999996,18,80,0.9976,3.3699999999999997,0.8
8.1,0.7849999999999999,37,153,0.9969,3.21,0.69
7.8,0.56,12,47,0.9964,3.19,0.93
8.4,0.62,11,108,0.9964,3.15,0.6599999999999999
8.4,0.6,14,111,0.9964,3.15,0.6599999999999999
10.1,0.31,22,46,0.9988,3.32,0.6699999999999999
7.8,0.56,12,47,0.9964,3.19,0.93
9.4,0.4,13,62,0.9966,3.07,0.63
8.3,0.54,11,40,0.9978,3.3899999999999997,0.61
7.8,0.56,7,28,0.997,3.3699999999999997,0.5
8.8,0.55,14,56,0.9962,3.21,0.6
7,0.69,22,89,0.9959,3.34,0.54
7.3,1.07,10,89,0.9962,3.3,0.5700000000000001
8.8,0.55,14,56,0.9962,3.21,0.6
7.3,0.695,3,13,0.998,3.4899999999999998,0.52
8,0.71,11,34,0.9976,3.44,0.53
7.8,0.5,21,102,0.996,3.3899999999999997,0.48000000000000004
9,0.62,27,90,0.9984,3.16,0.7
8,0.59,3,16,0.9962,3.42,0.92
6.1,0.38,6,19,0.9954999999999999,3.42,0.5700000000000001
8,0.745,30,134,0.9968,3.24,0.6599999999999999
5.6,0.5,17,99,0.9937,3.63,0.63
5.6,0.5,17,99,0.9937,3.63,0.63
6.6,0.5,17,26,0.9952,3.4,0.58
7.9,1.04,13,29,0.9959,3.22,0.55
8.4,0.745,16,63,0.9964999999999999,3.19,0.8200000000000001
8.3,0.715,10,52,0.9968,3.23,0.77
7.2,0.41500000000000004,13,45,0.9972,3.48,0.64
7.8,0.56,15,105,0.9962,3.3299999999999996,0.54
7.8,0.56,17,108,0.9962,3.32,0.54
8.4,0.745,16,63,0.9964999999999999,3.19,0.8200000000000001
8.3,0.715,10,52,0.9968,3.23,0.77
5.2,0.33999999999999997,27,63,0.9916,3.68,0.7899999999999999
6.3,0.39,3,20,0.9954,3.34,0.58
5.2,0.33999999999999997,27,63,0.9916,3.68,0.7899999999999999
8.1,0.6699999999999999,32,141,0.9968,3.17,0.62
5.8,0.6799999999999999,21,94,0.9944,3.54,0.52
7.6,0.49,10,88,0.9968,3.11,0.8
6.9,0.49,12,30,0.9959,3.42,0.58
8.2,0.4,11,43,0.9974999999999999,3.53,0.61
7.3,0.32999999999999996,5,11,0.9958,3.3299999999999996,0.53
7.5,0.6,25,99,0.995,3.3499999999999996,0.54
7.5,0.6,25,99,0.995,3.3499999999999996,0.54
7.1,0.43000000000000005,29,129,0.9973,3.42,0.72
7.1,0.43000000000000005,28,128,0.9973,3.42,0.71
7.1,0.43000000000000005,29,129,0.9973,3.42,0.72
7.1,0.43000000000000005,28,128,0.9973,3.42,0.71
7.1,0.6799999999999999,12,22,0.9969,3.48,0.5
6.8,0.6,18,86,0.9968,3.59,0.5700000000000001
7.6,0.9500000000000001,7,20,0.9959,3.2,0.56
7.6,0.6799999999999999,9,20,0.9964999999999999,3.17,1.08
7.8,0.53,17,31,0.9964,3.3299999999999996,0.56
7.4,0.6,36,121,0.9982,3.3699999999999997,0.49
7.3,0.59,35,121,0.9981,3.3699999999999997,0.49
7.8,0.63,14,96,0.9961,3.19,0.62
6.8,0.64,18,101,0.9956,3.34,0.52
7.3,0.55,17,42,0.9956,3.3699999999999997,0.48000000000000004
6.8,0.63,11,44,0.9953,3.4699999999999998,0.55
7.9,0.885,4,8,0.9972,3.36,0.32999999999999996
8,0.42000000000000004,6,18,0.9972,3.29,0.61
8,0.42000000000000004,6,18,0.9972,3.29,0.61
7.4,0.62,24,42,0.9961,3.42,0.5700000000000001
7.3,0.38,7,35,0.9961,3.3299999999999996,0.47000000000000003
6.9,0.5,19,49,0.9958,3.3499999999999996,0.7799999999999999
7.3,0.38,7,35,0.9961,3.3299999999999996,0.47000000000000003
7.5,0.52,8,38,0.9972,3.58,0.61
7,0.805,7,20,0.9969,3.48,0.56
8.8,0.61,10,42,0.9969,3.19,0.59
8.8,0.61,10,42,0.9969,3.19,0.59
8.9,0.61,23,110,0.9972,3.12,1.02
7.2,0.73,16,42,0.9972,3.44,0.52
6.8,0.61,11,65,0.9971,3.54,0.58
6.7,0.62,8,62,0.997,3.52,0.58
8.9,0.31,26,85,0.9971,3.2600000000000002,0.53
7.4,0.39,14,67,0.9972,3.34,0.55
7.7,0.705,9,26,0.9976,3.3899999999999997,0.49
7.9,0.5,15,143,0.9968,3.2,0.55
7.9,0.49,17,144,0.9968,3.2,0.55
8.2,0.5,21,127,0.9976,3.23,0.62
6.4,0.37,21,49,0.9974,3.57,0.62
6.8,0.63,16,126,0.9969,3.2800000000000002,0.61
7.6,0.55,7,28,0.9964,3.2800000000000002,0.55
7.6,0.55,7,28,0.9964,3.2800000000000002,0.55
7.8,0.59,24,120,0.9968,3.25,0.54
7.3,0.58,15,55,0.9968,3.46,0.59
11.5,0.3,12,27,0.9981,3.11,0.97
5.4,0.8350000000000001,13,93,0.9924,3.57,0.8500000000000001
6.9,1.09,12,31,0.9948,3.51,0.43000000000000005
9.6,0.32,9,24,0.99695,3.22,0.8200000000000001
8.8,0.37,39,145,0.9974999999999999,3.04,1.03
6.8,0.5,16,49,0.99545,3.36,0.7899999999999999
7,0.42000000000000004,16,39,0.9961,3.34,0.55
7,0.43000000000000005,14,37,0.99615,3.34,0.56
12.8,0.3,9,28,0.9994,3.2,0.77
12.8,0.3,9,28,0.9994,3.2,0.77
7.8,0.5700000000000001,26,120,0.99625,3.29,0.53
7.8,0.44,18,95,0.9966,3.22,0.6699999999999999
11,0.3,7,19,0.998,3.3099999999999996,0.88
9.7,0.53,5,19,0.99585,3.3,0.8600000000000001
8,0.725,10,62,0.99685,3.3499999999999996,0.56
11.6,0.44,5,15,0.998,3.21,0.6699999999999999
8.2,0.5700000000000001,28,65,0.9959,3.3,0.43000000000000005
7.8,0.735,10,41,0.9974,3.24,0.71
7,0.49,26,121,0.9974,3.34,0.76
8.7,0.625,13,49,0.9962,3.14,0.5700000000000001
8.1,0.725,11,41,0.9967,3.36,0.55
7.5,0.49,10,44,0.9957,3.3899999999999997,0.54
7.8,0.53,24,144,0.9965499999999999,3.3,0.6
7.8,0.33999999999999997,24,58,0.9964,3.34,0.59
7.4,0.53,16,72,0.9957,3.15,0.5700000000000001
6.8,0.61,5,10,0.99525,3.42,0.6
8.6,0.645,8,28,0.99815,3.2800000000000002,0.6
8.4,0.635,15,55,0.99745,3.3099999999999996,0.5700000000000001
7.7,0.43000000000000005,29,63,0.99615,3.3699999999999997,0.58
9,0.8200000000000001,9,23,0.9984,3.3899999999999997,0.63
7.7,0.43000000000000005,29,63,0.99615,3.3699999999999997,0.58
6.9,0.52,10,37,0.99685,3.46,0.5
5.2,0.48000000000000004,19,106,0.9927,3.54,0.62
8,0.38,12,49,0.99625,3.3699999999999997,0.52
8.5,0.37,18,58,0.998,3.34,0.7
6.9,0.52,10,37,0.99685,3.46,0.5
8.2,1,7,37,0.99685,3.32,0.55
7.2,0.63,14,38,0.99675,3.3699999999999997,0.58
7.2,0.63,14,38,0.99675,3.3699999999999997,0.58
7.2,0.645,15,39,0.99675,3.3699999999999997,0.58
7.2,0.63,14,38,0.99675,3.3699999999999997,0.58
8.2,1,7,37,0.99685,3.32,0.55
8.9,0.635,5,62,0.9971,3,1.09
12,0.38,6,24,0.99925,3.14,0.71
7.7,0.58,28,109,0.99565,3.08,0.49
7.3,0.6599999999999999,6,23,0.9983,3.61,0.96
7.1,0.6799999999999999,16,51,0.99685,3.38,0.52
8.2,0.6,11,73,0.9963,3.2,0.45
7.7,0.53,9,39,0.99615,3.3499999999999996,0.48000000000000004
7.3,0.6599999999999999,6,23,0.9983,3.61,0.96
10.8,0.32,16,37,0.9984999999999999,3.22,0.7799999999999999
7.1,0.6,16,34,0.9972,3.4699999999999998,0.7
11.1,0.35,5,21,0.9986,3.17,0.53
7.7,0.775,8,86,0.9959,3.23,0.59
7.1,0.6,16,34,0.9972,3.4699999999999998,0.7
8,0.5700000000000001,17,119,0.99675,3.2600000000000002,0.5700000000000001
9.4,0.33999999999999997,5,13,0.998,3.22,0.62
6.6,0.695,12,56,0.9968,3.4899999999999998,0.6699999999999999
7.7,0.41000000000000003,8,45,0.9968,3.06,1.26
10,0.31,14,33,0.99965,3.36,0.8
7.9,0.32999999999999996,18,45,0.99625,3.29,0.65
7,0.975,12,67,0.99565,3.3499999999999996,0.6
8,0.52,10,35,0.99575,3.34,0.5700000000000001
7.9,0.37,23,49,0.9963,3.2800000000000002,0.6699999999999999
12.5,0.56,5,27,0.9999,3.08,0.8700000000000001
11.8,0.26,6,10,0.9968,3.2,0.72
8.1,0.8700000000000001,26,61,1.00025,3.6,0.72
7.9,0.35,15,37,0.9973,3.3499999999999996,0.8600000000000001
6.9,0.54,7,27,0.9987,3.69,0.91
11.5,0.18,4,23,0.9996,3.2800000000000002,0.97
7.9,0.545,27,61,0.9964999999999999,3.36,0.6699999999999999
11.5,0.18,4,23,0.9996,3.2800000000000002,0.97
10.9,0.37,17,65,0.99935,3.22,0.7799999999999999
8.4,0.715,10,38,0.99735,3.3099999999999996,0.64
7.5,0.65,27,94,0.99915,3.38,0.77
7.9,0.545,27,61,0.9964999999999999,3.36,0.6699999999999999
6.9,0.54,7,27,0.9987,3.69,0.91
11.5,0.18,4,23,0.9996,3.2800000000000002,0.97
10.3,0.32,5,13,0.9976,3.23,0.8200000000000001
8.9,0.4,10,47,0.9991,3.38,0.77
11.4,0.26,6,19,0.9986,3.12,0.8200000000000001
7.7,0.27,5,10,0.9972,3.25,1.08
7.6,0.52,12,53,0.9971,3.36,0.5700000000000001
8.9,0.4,10,47,0.9991,3.38,0.77
9.9,0.59,32,71,1.00015,3.3099999999999996,0.71
9.9,0.59,32,71,1.00015,3.3099999999999996,0.71
12,0.45,25,49,0.9997,3.1,0.76
7.5,0.4,29,53,0.9967,3.3699999999999997,0.7
8.7,0.52,20,49,0.9976,3.34,0.8600000000000001
11.6,0.42000000000000004,33,98,1.001,3.2,0.9500000000000001
8.7,0.52,20,49,0.9976,3.34,0.8600000000000001
11,0.2,6,18,0.9979,3.3,0.71
10.4,0.55,18,48,0.9994,3.22,0.64
6.9,0.36,5,16,0.9964,3.4099999999999997,0.6
13.3,0.33999999999999997,17,53,1.0013999999999998,3.05,0.81
10.8,0.5,5,27,1.0001,3.05,0.64
10.6,0.8300000000000001,26,70,0.9981,3.16,0.52
7.1,0.63,8,29,0.9985499999999999,3.67,0.73
7.2,0.65,5,31,0.9993,3.67,0.8
6.9,0.6699999999999999,8,33,0.99845,3.68,0.71
7.5,0.53,20,44,0.9964999999999999,3.38,0.59
11.1,0.18,7,15,0.9973,3.22,0.64
8.3,0.705,12,28,0.9994,3.51,0.72
7.4,0.6699999999999999,5,21,0.996,3.3899999999999997,0.54
8.4,0.65,12,90,0.9973,3.2,0.52
10.3,0.53,6,25,0.9998,3.12,0.59
7.6,0.62,7,54,0.9966,3.36,0.52
10.3,0.41000000000000003,6,14,0.9994,3.19,0.62
10.3,0.43000000000000005,5,12,0.9994,3.19,0.63
7.4,0.29000000000000004,9,30,0.9968,3.4099999999999997,0.53
10.3,0.53,6,25,0.9998,3.12,0.59
7.9,0.53,15,105,0.996,3.27,0.54
9,0.46,19,98,0.99815,3.32,0.63
8.6,0.47000000000000003,30,135,0.9976,3.3,0.53
7.4,0.36,26,72,0.99645,3.3899999999999997,0.6799999999999999
7.1,0.35,20,53,0.9962,3.42,0.65
9.6,0.56,37,92,0.9996,3.3,0.65
9.6,0.77,30,74,0.99865,3.3,0.64
9.8,0.6599999999999999,21,59,0.9989,3.3699999999999997,0.71
9.6,0.77,30,74,0.99865,3.3,0.64
9.8,0.6599999999999999,21,59,0.9989,3.3699999999999997,0.71
9.3,0.61,25,87,0.99975,3.24,0.62
7.8,0.62,6,18,0.99735,3.29,0.63
10.3,0.59,35,73,0.999,3.2800000000000002,0.7
10,0.49,13,50,1.0014999999999998,3.16,0.69
10,0.49,13,50,1.0014999999999998,3.16,0.69
11.6,0.53,6,14,0.9978,3.05,0.74
10.3,0.44,5,13,0.998,3.2800000000000002,0.8300000000000001
13.4,0.27,6,21,1.0002,3.16,0.6699999999999999
10.7,0.46,7,15,0.9981,3.18,0.62
10.2,0.36,10,41,0.998,3.23,0.6599999999999999
10.2,0.36,10,41,0.998,3.23,0.6599999999999999
8,0.58,21,114,0.9973,3.22,0.54
8.4,0.56,16,44,0.9958,3.13,0.52
7.9,0.65,17,38,0.9963,3.34,0.74
11.9,0.695,7,21,0.9992,3.17,0.8400000000000001
8.9,0.43000000000000005,6,16,0.9948,3.3499999999999996,0.7
7.8,0.43000000000000005,29,58,0.9974,3.3099999999999996,0.64
12.4,0.49,28,99,1.0008,3.16,1
12.5,0.28,12,29,0.9997,3.11,1.36
12.2,0.33999999999999997,10,21,1,3.12,1.1800000000000002
10.6,0.42000000000000004,5,18,0.9972,3.21,0.8700000000000001
10.9,0.39,6,14,0.9982,3.3,0.75
10.9,0.39,6,14,0.9982,3.3,0.75
11.9,0.5700000000000001,6,32,1.0006,3.12,0.7799999999999999
7,0.6849999999999999,40,63,0.9979,3.6,0.81
6.6,0.8150000000000001,17,34,0.9954999999999999,3.58,0.89
13.8,0.49,6,15,0.9986,3.02,0.93
9.6,0.56,15,46,0.9979,3.11,0.92
9.1,0.7849999999999999,11,28,0.9994,3.36,0.8600000000000001
10.7,0.6699999999999999,17,34,1.0004,3.2800000000000002,0.98
9.1,0.7949999999999999,11,26,0.9994,3.3499999999999996,0.8300000000000001
7.7,0.6649999999999999,8,19,0.9974,3.27,0.73
13.5,0.53,23,77,1.0017999999999998,3.18,0.77
6.1,0.21000000000000002,40.5,165,0.9912,3.25,0.59
6.7,0.75,17,32,0.9954999999999999,3.55,0.61
11.5,0.41000000000000003,29,55,1.0001,3.2600000000000002,0.88
10.5,0.42000000000000004,12,29,0.997,3.24,0.75
11.9,0.43000000000000005,10,23,1,3.15,0.8500000000000001
12.6,0.38,10,41,1.001,3.17,0.6799999999999999
8.2,0.7,14,81,0.9973,3.19,0.7
8.6,0.45,21,50,0.9982,3.3699999999999997,0.91
11.9,0.58,6,37,0.9992,3.05,0.56
12.5,0.46,6,15,0.9988,2.9899999999999998,0.8700000000000001
12.8,0.615,7,42,1.0022,3.07,0.73
10,0.42000000000000004,7,21,0.9979,3.2600000000000002,0.93
12.8,0.615,7,42,1.0022,3.07,0.73
10.4,0.5750000000000001,11,24,1,3.16,0.69
10.3,0.33999999999999997,15,75,0.9998,3.18,0.64
9.4,0.27,6,18,0.9962,3.2,1.1300000000000001
6.9,0.765,35,63,0.9974999999999999,3.57,0.7799999999999999
7.9,0.24000000000000002,11,25,0.9967,3.32,0.8700000000000001
9.1,0.28,26,46,0.9967,3.32,1.04
7.4,0.55,12,72,0.9959,3.05,0.63
14,0.41000000000000003,6,47,1.0013999999999998,3.01,0.81
11.5,0.54,6,15,0.9984,3.01,0.8300000000000001
11.5,0.45,19,47,1.0003,3.2600000000000002,1.11
9.4,0.27,6,18,0.9962,3.2,1.1300000000000001
11.4,0.625,6,24,0.9988,3.11,0.99
8.3,0.42000000000000004,24,60,0.9979,3.3099999999999996,0.7
8.3,0.26,11,27,0.9974,3.21,0.8
13.7,0.41500000000000004,17,43,1.0013999999999998,3.06,0.8
8.3,0.26,11,27,0.9974,3.21,0.8
8.3,0.26,11,27,0.9974,3.21,0.8
7.7,0.51,23,54,0.998,3.42,0.74
7.4,0.63,11,37,0.9979,3.4299999999999997,0.76
7.8,0.54,23,48,0.9981,3.4099999999999997,0.74
8.3,0.6599999999999999,17,42,0.9972,3.3099999999999996,0.54
7.8,0.46,23,53,0.9981,3.4299999999999997,0.74
9.6,0.38,16,49,0.9982,3.19,0.7
5.6,0.8500000000000001,12,88,0.9924,3.56,0.8200000000000001
13.7,0.41500000000000004,17,43,1.0013999999999998,3.06,0.8
9.5,0.37,6,26,0.998,3.18,0.51
8.4,0.6649999999999999,13,95,0.997,3.16,0.54
12.7,0.6,6,25,0.9997,3.03,0.5700000000000001
12,0.37,7,38,1.0004,3.22,0.6
11.5,0.59,13,49,0.9988,3.18,0.65
11.5,0.59,13,49,0.9988,3.18,0.65
8.7,0.765,9,42,0.9963,3.1,0.55
7.7,0.26,20,38,0.9949,3.29,0.47000000000000003
12.2,0.48000000000000004,19,64,1,3.1,0.61
11.4,0.6,10,41,0.9994,3.15,0.63
7.7,0.69,15,27,0.9974,3.2600000000000002,0.61
8.7,0.31,11,25,0.9966,3.36,0.76
9.8,0.44,9,28,0.9981,3.24,0.65
12,0.39,12,30,0.9996,3.18,0.63
10.4,0.33999999999999997,6,16,0.997,3.19,0.7
12.5,0.46,26,49,0.9981,3.05,0.5700000000000001
9,0.43000000000000005,26,86,0.9987,3.38,0.62
9.1,0.45,23,78,0.9987,3.38,0.62
7.1,0.735,15,77,0.9966,3.27,0.64
9.9,0.4,6,19,0.9986,3.27,0.8200000000000001
8.8,0.52,24,122,0.9982,3.2600000000000002,0.61
8.6,0.725,31,134,1.0013999999999998,3.32,1.07
10.6,0.48000000000000004,6,20,0.997,3.2600000000000002,0.6599999999999999
7,0.58,34,124,0.9956,3.44,0.48000000000000004
